age,place_of_birth,citydistrict,gender,time
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuuk,Male,2019
0,Greenland,Nuussuaq,Male,2019
0,Greenland,Nuussuaq,Male,2019
0,Greenland,Nuussuaq,Male,2019
0,Greenland,Nuussuaq,Male,2019
0,Greenland,Nuussuaq,Male,2019
0,Greenland,Nuussuaq,Male,2019
0,Greenland,Nuussuaq,Male,2019
0,Greenland,Nuussuaq,Male,2019
0,Greenland,Nuussuaq,Male,2019
0,Greenland,Nuussuaq,Male,2019
0,Greenland,Nuussuaq,Male,2019
0,Greenland,Nuussuaq,Male,2019
0,Greenland,Nuussuaq,Male,2019
0,Greenland,Nuussuaq,Male,2019
0,Greenland,Nuussuaq,Male,2019
0,Greenland,Nuussuaq,Male,2019
0,Greenland,Nuussuaq,Male,2019
0,Greenland,Nuussuaq,Male,2019
0,Greenland,Nuussuaq,Male,2019
0,Greenland,Nuussuaq,Male,2019
0,Greenland,Nuussuaq,Male,2019
0,Greenland,Quassussuup Tungaa,Male,2019
0,Greenland,Quassussuup Tungaa,Male,2019
0,Greenland,Quassussuup Tungaa,Male,2019
0,Greenland,Quassussuup Tungaa,Male,2019
0,Greenland,Quassussuup Tungaa,Male,2019
0,Greenland,Quassussuup Tungaa,Male,2019
0,Greenland,Quassussuup Tungaa,Male,2019
0,Greenland,Quassussuup Tungaa,Male,2019
0,Greenland,Quassussuup Tungaa,Male,2019
0,Greenland,Quassussuup Tungaa,Male,2019
0,Greenland,Quassussuup Tungaa,Male,2019
0,Greenland,Quassussuup Tungaa,Male,2019
0,Greenland,Quassussuup Tungaa,Male,2019
0,Greenland,Quassussuup Tungaa,Male,2019
0,Greenland,Quassussuup Tungaa,Male,2019
0,Greenland,Quassussuup Tungaa,Male,2019
0,Greenland,Quassussuup Tungaa,Male,2019
0,Greenland,Quassussuup Tungaa,Male,2019
0,Greenland,Quassussuup Tungaa,Male,2019
